Date,EURUSD,AEEMMI,BATTMI,BTECL,GOAIMI,IBCFDE,IROBDE,IS0MDE,ISPYMI,IWDAAS,LYM8DE,NQSEDE,QDVEDE,REUSEPA,SC0CDE,SP5PA,SXR8DE,VWCEDE,WCBRMI,WTAIMI,A2AMI,BY6BE,CJ6BE,ENELMI,ENIMI,IPMI,LDOMI,MSFDE,N3IABE,NOVABE,SBLBE,STMMIMI,U6ZBE,UCGMI,VO51BE,XPEV,IT25L,IB25DE,WDCHM,IBCJDE,INLDE,ASMLAS,TSFABE,LLYDE,V60AAS,TT6F,E6ZF,Z0YBE,XESPDE,QDV5DE,EUNNDE,LYXIBMC,CACPA,DAPPMI,CCC3DE,MBGF,NVDF,PSTMI,BNPPA,EDPF,SIEDE,GLEPA,C001DE,RNOVI,ALCATPA,HEALAS,CSMIBMI,IMAEAS,LYBKDE,H4ZPDE,IS3NDE,IQQLDE,AK8EDE,CBU5DE,BTCEPA,ZPRRDE,SGLDMI,XDEWDE,ASWCDE,DFNDMI,DFENDE,EUDFDE,USE5MI,IUSEMI,IBCHDE,IS3RDE,IS3QDE,IS3SDE,IBCIDE,VAGFDE,IB1TDE,3SISMI,XEONDE
2020-12-31,1.23,4.85,13.16,6.85,67.05,80.54,19.68,165.1,18.99,59.59,44.59,8.18,13.12,12.13,88.22,29.4,304.35,81.01,19.76,48.1,1.08,18.83,11.03,6.29,6.37,39.98,5.6,170.46,43.2,26.48,0.85,30.67,1.46,6.03,3.18,42.83,100,5,45,14.33,36.65,381.6,84.78,127.46,26,18.33,39.24,85.83,21.53,5.17,41.12,71.71,49.06,12.82,37.12,36.68,10.65,6.49,33.53,4.05,102.85,13.99,138.6,32.68,3.11,8.92,87.17,72.02,69.5,8.1,29.42,16.9,9.98,90.77,29.01,43.91,153.34,52.93,7.19,5.27,18.53,25.02,10.58,80.58,63.12,47.87,38.26,25.69,225.45,26.52,6.98,4.3245,135.93
2021-01-01,1.22,4.85,13.16,6.78,67.05,80.54,19.68,165.1,18.99,59.31,44.59,8.18,13.12,12.09,88.22,29.16,304.35,81.01,19.76,48.1,1.08,18.83,11.03,6.29,6.37,39.98,5.6,170.46,43.2,26.48,0.85,30.67,1.46,6.03,3.18,44.1,100,5,45,14.33,36.65,389.95,84.78,127.46,26,18.33,39.24,85.83,21.53,5.17,41.12,71.59,49.43,12.82,37.12,36.68,10.65,6.49,33.46,4.05,102.85,13.73,138.6,32.68,3.2,8.92,87.17,72.02,69.5,8.1,29.42,16.9,9.98,90.77,29.01,43.91,153.34,52.93,7.19,5.27,18.53,25.02,10.58,80.58,63.12,47.87,38.26,25.69,225.45,26.52,6.98,4.3245,135.93
2021-01-04,1.23,4.85,13.16,6.78,67.05,80.54,19.68,165.1,18.99,59.31,44.59,8.18,13.12,12.09,88.22,29.16,304.35,81.01,19.76,48.1,1.08,18.83,11.03,6.29,6.37,39.98,5.6,170.46,43.2,26.48,0.85,30.67,1.46,6.03,3.18,44.1,100,5,45,14.33,36.65,389.95,84.78,127.46,26,18.33,39.24,85.83,21.53,5.17,41.12,71.59,49.43,12.82,37.12,36.68,10.65,6.49,33.46,4.05,102.85,13.73,138.6,32.68,3.2,8.92,87.17,72.02,69.5,8.1,29.42,16.9,9.98,90.77,29.01,43.91,153.34,52.93,7.19,5.27,18.53,25.02,10.58,80.58,63.12,47.87,38.26,25.69,225.45,26.52,6.98,4.3245,135.93
2021-01-05,1.23,4.91,13.45,6.74,67.49,80.87,19.93,165.06,18.94,59.42,44.39,8.2,13.12,12.08,88.22,29.22,305.07,81.31,19.76,48.58,1.07,19.96,10.65,6.24,6.61,39.55,5.74,169.87,43.4,26.71,0.88,30.95,1.45,5.96,3.3,42.34,100,5,42.38,14.41,36.48,390.57,84.69,127.03,26,18.03,38.47,83.42,21.59,5.22,41.17,71.61,49.17,12.82,37.04,36.69,10.77,6.45,33.39,4.25,102.64,13.81,138.6,33.29,3.12,8.92,86.59,72.02,69.54,8.27,29.74,16.95,9.98,90.77,29.01,44.53,153.62,53.22,7.19,5.27,18.53,25.02,10.63,80.82,63.2,47.98,38.28,25.83,225.41,26.49,6.98,4.2595,135.93
2021-01-06,1.23,4.93,13.87,6.86,68.56,82.07,20.15,164.98,19.11,60.27,45.49,8.21,13.14,12.3,89.47,29.7,309.77,82.35,19.76,48.25,1.09,19.91,11.61,6.64,6.83,40.48,5.83,168.6,43.6,26.25,0.89,31.03,1.55,6.33,3.46,41.23,100,5,42.82,14.7,37.41,386.68,85.98,128.55,26,18.33,39.24,83.9,22.17,5.22,41.62,73.88,49.75,12.82,36,36.69,10.54,6.65,35.23,4.18,106.58,14.76,138.6,33.5,3.15,8.92,88.81,72.02,73.45,8.29,29.83,17.08,9.98,90.77,29.01,46.38,150.38,54.73,7.19,5.27,18.53,25.02,10.65,82.14,64.11,48.17,38.74,26.52,225.78,26.37,6.98,4.5325,135.92
2021-01-07,1.23,4.93,14.23,7.02,69.06,82.81,20.75,165.03,19.33,60.8,46.15,8.3,13.28,12.38,89.79,29.95,312.8,82.92,19.76,49.03,1.09,20.69,11.6,6.52,6.84,40.81,5.78,170.98,44.2,25.56,0.91,31.31,1.6,6.39,3.49,44.99,100,5,43.17,14.88,38.25,387.69,92.86,127.65,26,21.08,43.11,90.17,22.25,5.21,41.7,74.31,50.09,12.82,35.34,37.42,10.74,6.78,36.03,4.42,108.69,14.91,138.6,34.87,3.32,8.92,89.02,72.02,74.74,8.17,29.86,17.2,9.98,90.77,29.01,47.17,151.08,55.19,7.19,5.27,18.53,25.02,10.58,82.8,64.72,48.88,39,26.75,226.19,26.37,6.98,4.353,135.93
2021-01-08,1.23,5.07,14.38,7.11,69.91,83,21.26,165.5,19.71,61.1,46.81,8.38,13.36,12.46,90.4,30.09,314.01,83.67,19.76,50.53,1.09,21.02,11.59,6.64,6.81,39.1,5.69,171.12,47.6,26.25,0.99,31.9,1.72,6.5,3.23,45.45,100,5,44.43,15.01,37.81,399.35,94.76,129.25,26,20.89,43.3,90.66,22.31,5.32,42.43,74.35,50.43,12.82,35.72,37.04,10.72,6.69,35.23,4.46,108.43,14.61,138.6,33.28,3.34,8.92,88.65,72.02,73.87,8.45,30.67,17.22,9.98,90.77,29.01,47.33,147.03,55.36,7.19,5.27,18.53,25.02,10.48,82.96,64.94,49.65,39.22,26.78,226.45,26.36,6.98,5.06,135.93
2021-01-11,1.22,5.08,14.37,7.09,70.25,82.95,21.25,165.02,19.84,61.35,46.92,8.35,13.45,12.52,89.7,30.3,316.31,83.93,19.76,50.76,1.08,21.95,11.56,6.65,6.77,39.43,5.65,172.54,52.6,26.71,1.13,32.23,1.62,6.39,3.34,44.36,100,5,41.8,14.91,38.25,398.25,93.76,145.85,26,21.08,42.72,89.21,22.17,5.35,42.49,73.9,50.05,12.82,35.88,36.91,11.39,6.64,34.99,4.37,108.41,14.41,138.6,33.01,3.27,8.92,88.57,72.02,73.35,8.43,30.67,17.24,9.98,90.77,29.01,47.49,147.19,55.75,7.19,5.27,18.53,25.02,10.1,82.96,64.82,49.78,39.4,26.87,225.9,26.3,6.98,5.247,135.95
2021-01-12,1.22,5.12,14.39,7.11,70.75,82.8,21.41,163.84,19.93,61.3,47.33,8.3,13.34,12.55,89.77,30.23,315.75,83.97,19.76,50.6,1.06,23.05,11.39,6.54,6.83,39.29,5.75,170.16,51.8,26.48,1.1,32.51,1.46,6.38,3.13,54.3,100,5,42.21,14.7,39.55,402.14,94.89,140.68,26,20.89,43.3,89.69,22.17,5.42,42.49,73.85,49.92,12.82,35.71,37.3,11.08,6.53,35.27,4.25,108.47,14.5,138.6,33.61,3.13,8.92,88.49,72.02,74.1,8.51,30.89,17.28,9.98,90.77,29.01,48.4,146.95,56.16,7.19,5.27,18.53,25.02,10.09,82.79,64.69,49.62,39.26,27.09,225.4,26.27,6.98,5.146,135.91
2021-01-13,1.22,5.11,14.44,7.13,70.68,82.93,21.47,164.68,19.88,61.44,47.47,8.35,13.44,12.55,89.89,30.28,316.2,84.14,19.76,51.25,1.08,22.63,11.04,6.63,6.84,39.76,5.64,170.73,51.2,26.02,1.18,32.55,1.39,6.33,3.05,51.66,100,5,40.63,14.54,42.11,405.5,92.94,145.37,26,21.08,42.72,89.69,22.24,5.39,42.76,74.14,50.08,12.82,35.76,36.91,11.13,6.56,35.03,4.22,107.4,14.51,138.6,32.65,3.11,8.92,88.83,72.02,73.47,8.49,30.84,17.27,9.98,90.77,29.01,48.25,148.09,55.96,7.19,5.27,18.53,25.02,10.08,82.95,64.85,49.83,39.33,27.22,226.44,26.31,6.98,5.06,135.91
